Domains,Contributions
"fb.com","166,695"
"gmail.com","59,614"
"users.noreply.github.com","10,288"
"live.co.uk","9,931"
"intel.com","7,735"
"hotmail.com","5,849"
"meta.com","4,097"
"microsoft.com","4,085"
"quansight.com","3,382"
"zafar.cc","2,739"
"aalto.fi","2,641"
"nvidia.com","2,066"
"umich.edu","2,035"
"devfair044.h1.fair","1,718"
"posteo.de","1,560"
"topbug.net","1,486"
"devfair044.maas","1,406"
"devfair004.maas","1,147"
"yahoo.com","1,063"
"devvm4827.prn0.facebook.com","1,060"
"amd.com",855
"karetnikov.org",749
"devvm4121.frc0.facebook.com",701
"devvm146.prn0.facebook.com",624
"devgpu109.ash6.facebook.com",484
